,年次,調査区域,項目,variable,value
108,1984年,全国,書籍・他の印刷物【円】,平均,"3,819"
109,1984年,全国,教養娯楽サービス【円】,平均,"11,784"
110,1984年,全国,宿泊料【円】,平均,466
111,1984年,全国,パック旅行【円】,平均,"3,467"
112,1984年,全国,月謝類【円】,平均,"3,783"
113,1984年,全国,他の教養娯楽サービス【円】,平均,"4,068"
114,1984年,全国,その他の消費支出【円】,平均,"65,618"
115,1984年,全国,諸雑費【円】,平均,"15,728"
116,1984年,全国,理美容サービス【円】,平均,"2,595"
117,1984年,全国,理美容用品【円】,平均,"2,680"
118,1984年,全国,身の回り用品【円】,平均,"1,537"
119,1984年,全国,たばこ【円】,平均,"1,885"
120,1984年,全国,（「諸雑費」のその他）【円】,平均,"7,032"
121,1984年,全国,こづかい（使途不明）【円】,平均,"20,909"
122,1984年,全国,交際費【円】,平均,"22,650"
123,1984年,全国,（「交際費」の食料）【円】,平均,"5,007"
124,1984年,全国,家具・家事用品（「交際費」の家具・家事用品）【円】,平均,665
125,1984年,全国,被服及び履物（「交際費」の被服及び履物）【円】,平均,957
126,1984年,全国,（「交際費」の教養娯楽）【円】,平均,491
127,1984年,全国,他の物品サービス【円】,平均,425
128,1984年,全国,贈与金【円】,平均,"11,614"
129,1984年,全国,他の交際費【円】,平均,"3,490"
130,1984年,全国,（「その他の消費支出」の仕送り金）【円】,平均,"6,331"
131,1984年,全国,（再掲）教育関係費【円】,平均,"19,098"
132,1984年,全国,（再掲）教養娯楽関係費【円】,平均,"25,669"
133,1984年,全国,（「教養娯楽関係費」の耐久財）【円】,平均,"2,388"
134,1984年,全国,読書【円】,平均,"3,765"
135,1984年,全国,聴視・観覧【円】,平均,"1,354"
136,1984年,全国,旅行【円】,平均,"6,669"
137,1984年,全国,スポーツ【円】,平均,"2,099"
138,1984年,全国,（「教養娯楽関係費」の月謝）【円】,平均,"3,361"
139,1984年,全国,会費・つきあい費【円】,平均,"1,850"
140,1984年,全国,他の教養娯楽【円】,平均,"4,181"
141,1984年,全国,〔耐久財を除く教養娯楽関係費〕【円】,平均,"23,280"
142,1984年,全国,（（特掲）財・サービス区分の消費支出。「こづかい（使途不明）」，「贈与金」，「他の交際費」，「仕送り金」は含まれない。）【円】,平均,"222,063"
143,1984年,全国,商品【円】,平均,"143,949"
144,1984年,全国,耐久財【円】,平均,"12,805"
145,1984年,全国,半耐久財【円】,平均,"28,607"
146,1984年,全国,非耐久財【円】,平均,"102,537"
147,1984年,全国,サービス【円】,平均,"78,114"
148,1984年,全国,（財・サービス区分の食料）【円】,平均,"80,313"
149,1984年,全国,（財・サービス区分「食料」の非耐久財）【円】,平均,"67,587"
150,1984年,全国,（財・サービス区分「食料」のサービス）【円】,平均,"12,726"
151,1984年,全国,（財・サービス区分の住居）【円】,平均,"12,011"
152,1984年,全国,（財・サービス区分「住居」の耐久財）【円】,平均,547
153,1984年,全国,（財・サービス区分「住居」の半耐久財）【円】,平均,392
154,1984年,全国,（財・サービス区分「住居」のサービス）【円】,平均,"11,073"
155,1984年,全国,光熱・水道（非耐久財）（財・サービス区分の光熱・水道）【円】,平均,"15,955"
156,1984年,全国,家具・家事用品（財・サービス区分の家具・家事用品）【円】,平均,"11,966"
157,1984年,全国,（財・サービス区分「家具・家事用品」の耐久財）【円】,平均,"5,065"
158,1984年,全国,（財・サービス区分「家具・家事用品」の半耐久財）【円】,平均,"4,208"
159,1984年,全国,（財・サービス区分「家具・家事用品」の非耐久財）【円】,平均,"1,809"
160,1984年,全国,（財・サービス区分「家具・家事用品」のサービス）【円】,平均,883
161,1984年,全国,被服及び履物（財・サービス区分の被服及び履物）【円】,平均,"19,129"
162,1984年,全国,（財・サービス区分「被服及び履物」の半耐久財）【円】,平均,"17,711"
163,1984年,全国,（財・サービス区分「被服及び履物」のサービス）【円】,平均,"1,418"
164,1984年,全国,（財・サービス区分の保健医療）【円】,平均,"6,862"
165,1984年,全国,（財・サービス区分「保健医療」の耐久財）【円】,平均,521
166,1984年,全国,（財・サービス区分「保健医療」の半耐久財）【円】,平均,297
167,1984年,全国,（財・サービス区分「保健医療」の非耐久財）【円】,平均,"1,960"
168,1984年,全国,（財・サービス区分「保健医療」のサービス）【円】,平均,"4,084"
169,1984年,全国,（財・サービス区分の交通通信）【円】,平均,"26,598"
170,1984年,全国,（財・サービス区分「交通通信」の耐久財）【円】,平均,"4,382"
171,1984年,全国,（財・サービス区分「交通通信」の半耐久財）【円】,平均,402
172,1984年,全国,（財・サービス区分「交通通信」の非耐久財）【円】,平均,"5,659"
173,1984年,全国,（財・サービス区分「交通通信」のサービス）【円】,平均,"16,156"
174,1984年,全国,（財・サービス区分の教育）【円】,平均,"10,370"
175,1984年,全国,（財・サービス区分「教育」の非耐久財）【円】,平均,371
176,1984年,全国,（財・サービス区分「教育」のサービス）【円】,平均,"9,999"
177,1984年,全国,（財・サービス区分の教養娯楽）【円】,平均,"22,823"
178,1984年,全国,（財・サービス区分「教養娯楽」の耐久財）【円】,平均,"2,112"
179,1984年,全国,（財・サービス区分「教養娯楽」の半耐久財）【円】,平均,"3,869"
180,1984年,全国,（財・サービス区分「教養娯楽」の非耐久財）【円】,平均,"4,791"
181,1984年,全国,（財・サービス区分「教養娯楽」のサービス）【円】,平均,"12,051"
182,1984年,全国,（財・サービス区分の諸雑費）【円】,平均,"16,037"
183,1984年,全国,（財・サービス区分「諸雑費」の耐久財）【円】,平均,179
184,1984年,全国,（財・サービス区分「諸雑費」の半耐久財）【円】,平均,"1,729"
185,1984年,全国,（財・サービス区分「諸雑費」の非耐久財）【円】,平均,"4,405"
186,1984年,全国,（財・サービス区分「諸雑費」のサービス）【円】,平均,"9,724"
187,1984年,全国,（（特掲）五大費目）【円】,平均,"75,306"
188,1984年,全国,（（特掲）五大費目）【円】,平均,"22,900"
189,1984年,全国,（（特掲）五大費目）【円】,平均,"13,085"
190,1984年,全国,（（特掲）五大費目）【円】,平均,"20,984"
191,1984年,全国,（（特掲）五大費目）【円】,平均,"132,133"
192,1984年,全国,現物支出（総額）【円】,平均,"15,995"
193,1984年,全国,（現物支出の自家産物）【円】,平均,"2,717"
194,1984年,全国,（現物支出の自家産物以外）【円】,平均,"13,278"
195,1984年,全国,（現物支出の食料）【円】,平均,"12,045"
196,1984年,全国,（現物支出「食料」の自家産物）【円】,平均,"2,546"
197,1984年,全国,その他（受贈物等）（現物支出「食料」の自家産物以外）【円】,平均,"9,499"
198,1984年,全国,（現物支出の住居）【円】,平均,29
199,1984年,全国,（現物支出の光熱・水道）【円】,平均,42
200,1984年,全国,（現物支出の家具・家事用品）【円】,平均,"1,168"
201,1984年,全国,（現物支出の被服及び履物）【円】,平均,"1,004"
202,1984年,全国,（現物支出の保健医療）【円】,平均,68
203,1984年,全国,（現物支出の交通通信）【円】,平均,381
204,1984年,全国,（現物支出の教育）【円】,平均,1
205,1984年,全国,（現物支出の教養娯楽）【円】,平均,545
206,1984年,全国,（現物支出のその他の消費支出）【円】,平均,713
207,1984年,全国,（現物支出の交際費（自家産物の贈与））【円】,平均,163
208,1984年,全国,〔持家の帰属家賃〕【円】,平均,"28,533"
209,1984年,全国,エンゲル係数（％）,平均,28.5
210,1984年,全国,貯蓄現在高（千円）,平均,"6,720"
211,1984年,全国,通貨性預貯金（千円）,平均,530
212,1984年,全国,定期性預貯金（千円）,平均,"3,278"
213,1984年,全国,生命保険（千円）,平均,"1,275"
214,1984年,全国,有価証券（千円）,平均,"1,367"
215,1984年,全国,負債現在高（千円）,平均,"2,660"
216,1984年,全国,うち住宅・土地のため（千円）,平均,"2,294"
217,1984年,全国,負債保有率（％）,平均,55
218,1984年,全国,うち住宅・土地のため（％）,平均,35.2
219,1984年,全国,集計世帯数,第1階級,"5,259"
220,1984年,全国,世帯数分布（抽出率調整）,第1階級,"81,591"
221,1984年,全国,（１万分比）,第1階級,"1,000"
222,1984年,全国,世帯人員（人）,第1階級,2.96
223,1984年,全国,有業人員（人）,第1階級,1.17
224,1984年,全国,世帯主の年齢（歳）【歳】,第1階級,51.9
225,1984年,全国,持家率（％）,第1階級,64.6
226,1984年,全国,居住室数（室）【室】,第1階級,4.5
227,1984年,全国,家賃・地代を支払っている世帯割合（％）,第1階級,36.1
228,1984年,全国,年間収入（千円）,第1階級,"1,841"
229,1984年,全国,消費支出【円】,第1階級,"150,608"
230,1984年,全国,食料【円】,第1階級,"49,614"
231,1984年,全国,穀類【円】,第1階級,"7,125"
232,1984年,全国,米類【円】,第1階級,"4,631"
233,1984年,全国,パン【円】,第1階級,"1,319"
234,1984年,全国,めん類【円】,第1階級,947
235,1984年,全国,穀粉・その他【円】,第1階級,228
236,1984年,全国,魚介類【円】,第1階級,"7,852"
237,1984年,全国,生鮮魚介【円】,第1階級,"5,164"
238,1984年,全国,塩干魚介【円】,第1階級,"1,657"
239,1984年,全国,魚肉練製品【円】,第1階級,652
240,1984年,全国,他の魚介加工品【円】,第1階級,379
241,1984年,全国,肉類【円】,第1階級,"5,174"
242,1984年,全国,生鮮肉【円】,第1階級,"4,461"
243,1984年,全国,加工肉【円】,第1階級,713
244,1984年,全国,乳卵類【円】,第1階級,"2,723"
245,1984年,全国,牛乳【円】,第1階級,"1,359"
246,1984年,全国,乳製品【円】,第1階級,377
247,1984年,全国,卵【円】,第1階級,987
248,1984年,全国,野菜・海草【円】,第1階級,"6,590"
249,1984年,全国,生鮮野菜【円】,第1階級,"4,366"
250,1984年,全国,乾物・海草【円】,第1階級,558
251,1984年,全国,大豆加工品【円】,第1階級,834
252,1984年,全国,他の野菜・海草加工品【円】,第1階級,833
253,1984年,全国,果物【円】,第1階級,"3,201"
254,1984年,全国,生鮮果物【円】,第1階級,"3,155"
255,1984年,全国,果物加工品【円】,第1階級,46
256,1984年,全国,油脂・調味料【円】,第1階級,"2,357"
257,1984年,全国,油脂【円】,第1階級,355
258,1984年,全国,調味料【円】,第1階級,"2,003"
259,1984年,全国,菓子類【円】,第1階級,"3,423"
260,1984年,全国,調理食品【円】,第1階級,"2,322"
261,1984年,全国,主食的調理食品【円】,第1階級,571
262,1984年,全国,他の調理食品【円】,第1階級,"1,750"
263,1984年,全国,飲料【円】,第1階級,"1,783"
264,1984年,全国,茶類【円】,第1階級,357
265,1984年,全国,コーヒー・ココア【円】,第1階級,359
266,1984年,全国,他の飲料【円】,第1階級,"1,067"
267,1984年,全国,酒類【円】,第1階級,"2,378"
268,1984年,全国,外食【円】,第1階級,"4,686"
269,1984年,全国,一般外食【円】,第1階級,"3,748"
270,1984年,全国,学校給食【円】,第1階級,938
271,1984年,全国,住居【円】,第1階級,"10,825"
272,1984年,全国,家賃・地代【円】,第1階級,"7,485"
273,1984年,全国,設備修繕・維持【円】,第1階級,"3,340"
274,1984年,全国,設備材料【円】,第1階級,697
275,1984年,全国,工事その他のサービス【円】,第1階級,"2,643"
276,1984年,全国,光熱・水道【円】,第1階級,"11,991"
277,1984年,全国,電気代【円】,第1階級,"5,433"
278,1984年,全国,ガス代【円】,第1階級,"3,423"
279,1984年,全国,他の光熱【円】,第1階級,"1,239"
280,1984年,全国,水道料【円】,第1階級,"1,896"
281,1984年,全国,家具・家事用品【円】,第1階級,"6,616"
282,1984年,全国,家庭用耐久財【円】,第1階級,"2,105"
283,1984年,全国,家事用耐久財【円】,第1階級,"1,038"
284,1984年,全国,冷暖房用器具【円】,第1階級,592
285,1984年,全国,一般家具【円】,第1階級,476
286,1984年,全国,室内装備品【円】,第1階級,509
287,1984年,全国,寝具類【円】,第1階級,893
288,1984年,全国,家事雑貨【円】,第1階級,"1,229"
289,1984年,全国,家事用消耗品【円】,第1階級,"1,300"
290,1984年,全国,家事サービス【円】,第1階級,580
291,1984年,全国,被服及び履物【円】,第1階級,"7,918"
292,1984年,全国,和服【円】,第1階級,736
293,1984年,全国,洋服【円】,第1階級,"2,654"
294,1984年,全国,男子洋服【円】,第1階級,860
295,1984年,全国,婦人洋服【円】,第1階級,"1,370"
296,1984年,全国,子供洋服【円】,第1階級,424
297,1984年,全国,シャツ・セーター類【円】,第1階級,"1,221"
298,1984年,全国,男子シャツ・セーター類【円】,第1階級,421
299,1984年,全国,婦人シャツ・セーター類【円】,第1階級,659
300,1984年,全国,子供シャツ・セーター類【円】,第1階級,142
301,1984年,全国,下着類【円】,第1階級,875
302,1984年,全国,男子下着類【円】,第1階級,381
303,1984年,全国,婦人下着類【円】,第1階級,354
304,1984年,全国,子供下着類【円】,第1階級,140
305,1984年,全国,生地・糸類【円】,第1階級,375
306,1984年,全国,他の被服【円】,第1階級,593
307,1984年,全国,履物類【円】,第1階級,921
308,1984年,全国,被服関連サービス【円】,第1階級,541
309,1984年,全国,保健医療【円】,第1階級,"4,931"
310,1984年,全国,医薬品【円】,第1階級,"1,126"
311,1984年,全国,保健医療用品・器具【円】,第1階級,842
312,1984年,全国,保健医療サービス【円】,第1階級,"2,962"
313,1984年,全国,交通通信【円】,第1階級,"14,019"
314,1984年,全国,交通【円】,第1階級,"3,058"
315,1984年,全国,自動車等関係費【円】,第1階級,"6,418"
316,1984年,全国,自動車【円】,第1階級,"1,042"
317,1984年,全国,自転車【円】,第1階級,99
318,1984年,全国,自動車等維持【円】,第1階級,"5,277"
319,1984年,全国,通信【円】,第1階級,"4,543"
320,1984年,全国,教育【円】,第1階級,"3,598"
321,1984年,全国,授業料等【円】,第1階級,"3,117"
322,1984年,全国,教科書・学習参考書【円】,第1階級,98
323,1984年,全国,補習教育【円】,第1階級,383
324,1984年,全国,教養娯楽【円】,第1階級,"10,655"
325,1984年,全国,教養娯楽用耐久財【円】,第1階級,"1,007"
326,1984年,全国,教養娯楽用品【円】,第1階級,"2,252"
327,1984年,全国,書籍・他の印刷物【円】,第1階級,"2,469"
328,1984年,全国,教養娯楽サービス【円】,第1階級,"4,928"
329,1984年,全国,宿泊料【円】,第1階級,222
330,1984年,全国,パック旅行【円】,第1階級,"1,740"
331,1984年,全国,月謝類【円】,第1階級,"1,084"
332,1984年,全国,他の教養娯楽サービス【円】,第1階級,"1,881"
333,1984年,全国,その他の消費支出【円】,第1階級,"30,442"
334,1984年,全国,諸雑費【円】,第1階級,"10,015"
335,1984年,全国,理美容サービス【円】,第1階級,"1,884"
336,1984年,全国,理美容用品【円】,第1階級,"1,419"
337,1984年,全国,身の回り用品【円】,第1階級,602
338,1984年,全国,たばこ【円】,第1階級,"1,883"
339,1984年,全国,（「諸雑費」のその他）【円】,第1階級,"4,226"
340,1984年,全国,こづかい（使途不明）【円】,第1階級,"4,817"
341,1984年,全国,交際費【円】,第1階級,"14,225"
342,1984年,全国,（「交際費」の食料）【円】,第1階級,"3,160"
343,1984年,全国,家具・家事用品（「交際費」の家具・家事用品）【円】,第1階級,343
344,1984年,全国,被服及び履物（「交際費」の被服及び履物）【円】,第1階級,606
345,1984年,全国,（「交際費」の教養娯楽）【円】,第1階級,331
346,1984年,全国,他の物品サービス【円】,第1階級,257
347,1984年,全国,贈与金【円】,第1階級,"8,652"
348,1984年,全国,他の交際費【円】,第1階級,875
349,1984年,全国,（「その他の消費支出」の仕送り金）【円】,第1階級,"1,386"
350,1984年,全国,（再掲）教育関係費【円】,第1階級,"6,398"
351,1984年,全国,（再掲）教養娯楽関係費【円】,第1階級,"12,604"
352,1984年,全国,（「教養娯楽関係費」の耐久財）【円】,第1階級,"1,082"
353,1984年,全国,読書【円】,第1階級,"2,411"
354,1984年,全国,聴視・観覧【円】,第1階級,996
355,1984年,全国,旅行【円】,第1階級,"3,871"
356,1984年,全国,スポーツ【円】,第1階級,667
357,1984年,全国,（「教養娯楽関係費」の月謝）【円】,第1階級,910
358,1984年,全国,会費・つきあい費【円】,第1階級,401
359,1984年,全国,他の教養娯楽【円】,第1階級,"2,267"
360,1984年,全国,〔耐久財を除く教養娯楽関係費〕【円】,第1階級,"11,522"
361,1984年,全国,（（特掲）財・サービス区分の消費支出。「こづかい（使途不明）」，「贈与金」，「他の交際費」，「仕送り金」は含まれない。）【円】,第1階級,"134,878"
362,1984年,全国,商品【円】,第1階級,"90,815"
363,1984年,全国,耐久財【円】,第1階級,"5,511"
364,1984年,全国,半耐久財【円】,第1階級,"13,599"
365,1984年,全国,非耐久財【円】,第1階級,"71,705"
366,1984年,全国,サービス【円】,第1階級,"44,063"
367,1984年,全国,（財・サービス区分の食料）【円】,第1階級,"52,774"
368,1984年,全国,（財・サービス区分「食料」の非耐久財）【円】,第1階級,"47,318"
369,1984年,全国,（財・サービス区分「食料」のサービス）【円】,第1階級,"5,456"
370,1984年,全国,（財・サービス区分の住居）【円】,第1階級,"10,851"
371,1984年,全国,（財・サービス区分「住居」の耐久財）【円】,第1階級,377
372,1984年,全国,（財・サービス区分「住居」の半耐久財）【円】,第1階級,347
373,1984年,全国,（財・サービス区分「住居」のサービス）【円】,第1階級,"10,128"
374,1984年,全国,光熱・水道（非耐久財）（財・サービス区分の光熱・水道）【円】,第1階級,"11,991"
375,1984年,全国,家具・家事用品（財・サービス区分の家具・家事用品）【円】,第1階級,"6,959"
376,1984年,全国,（財・サービス区分「家具・家事用品」の耐久財）【円】,第1階級,"2,618"
377,1984年,全国,（財・サービス区分「家具・家事用品」の半耐久財）【円】,第1階級,"2,455"
378,1984年,全国,（財・サービス区分「家具・家事用品」の非耐久財）【円】,第1階級,"1,306"
379,1984年,全国,（財・サービス区分「家具・家事用品」のサービス）【円】,第1階級,581
380,1984年,全国,被服及び履物（財・サービス区分の被服及び履物）【円】,第1階級,"8,524"
381,1984年,全国,（財・サービス区分「被服及び履物」の半耐久財）【円】,第1階級,"7,980"
382,1984年,全国,（財・サービス区分「被服及び履物」のサービス）【円】,第1階級,545
383,1984年,全国,（財・サービス区分の保健医療）【円】,第1階級,"4,953"
384,1984年,全国,（財・サービス区分「保健医療」の耐久財）【円】,第1階級,294
385,1984年,全国,（財・サービス区分「保健医療」の半耐久財）【円】,第1階級,256
386,1984年,全国,（財・サービス区分「保健医療」の非耐久財）【円】,第1階級,"1,435"
387,1984年,全国,（財・サービス区分「保健医療」のサービス）【円】,第1階級,"2,968"
388,1984年,全国,（財・サービス区分の交通通信）【円】,第1階級,"14,088"
389,1984年,全国,（財・サービス区分「交通通信」の耐久財）【円】,第1階級,"1,155"
390,1984年,全国,（財・サービス区分「交通通信」の半耐久財）【円】,第1階級,206
391,1984年,全国,（財・サービス区分「交通通信」の非耐久財）【円】,第1階級,"3,060"
392,1984年,全国,（財・サービス区分「交通通信」のサービス）【円】,第1階級,"9,667"
393,1984年,全国,（財・サービス区分の教育）【円】,第1階級,"3,599"
394,1984年,全国,（財・サービス区分「教育」の非耐久財）【円】,第1階級,99
395,1984年,全国,（財・サービス区分「教育」のサービス）【円】,第1階級,"3,500"
396,1984年,全国,（財・サービス区分の教養娯楽）【円】,第1階級,"10,986"
397,1984年,全国,（財・サービス区分「教養娯楽」の耐久財）【円】,第1階級,957
398,1984年,全国,（財・サービス区分「教養娯楽」の半耐久財）【円】,第1階級,"1,690"
399,1984年,全国,（財・サービス区分「教養娯楽」の非耐久財）【円】,第1階級,"3,278"
400,1984年,全国,（財・サービス区分「教養娯楽」のサービス）【円】,第1階級,"5,061"
401,1984年,全国,（財・サービス区分の諸雑費）【円】,第1階級,"10,153"
402,1984年,全国,（財・サービス区分「諸雑費」の耐久財）【円】,第1階級,111
403,1984年,全国,（財・サービス区分「諸雑費」の半耐久財）【円】,第1階級,666
404,1984年,全国,（財・サービス区分「諸雑費」の非耐久財）【円】,第1階級,"3,219"
405,1984年,全国,（財・サービス区分「諸雑費」のサービス）【円】,第1階級,"6,157"
406,1984年,全国,（（特掲）五大費目）【円】,第1階級,"49,614"
407,1984年,全国,（（特掲）五大費目）【円】,第1階級,"17,222"
408,1984年,全国,（（特掲）五大費目）【円】,第1階級,"10,095"
409,1984年,全国,（（特掲）五大費目）【円】,第1階級,"9,297"
410,1984年,全国,（（特掲）五大費目）【円】,第1階級,"64,381"
411,1984年,全国,現物支出（総額）【円】,第1階級,"11,198"
412,1984年,全国,（現物支出の自家産物）【円】,第1階級,"2,614"
413,1984年,全国,（現物支出の自家産物以外）【円】,第1階級,"8,584"
414,1984年,全国,（現物支出の食料）【円】,第1階級,"8,986"
415,1984年,全国,（現物支出「食料」の自家産物）【円】,第1階級,"2,445"
416,1984年,全国,その他（受贈物等）（現物支出「食料」の自家産物以外）【円】,第1階級,"6,541"
417,1984年,全国,（現物支出の住居）【円】,第1階級,18
418,1984年,全国,（現物支出の光熱・水道）【円】,第1階級,43
419,1984年,全国,（現物支出の家具・家事用品）【円】,第1階級,664
420,1984年,全国,（現物支出の被服及び履物）【円】,第1階級,590
421,1984年,全国,（現物支出の保健医療）【円】,第1階級,52
422,1984年,全国,（現物支出の交通通信）【円】,第1階級,84
423,1984年,全国,（現物支出の教育）【円】,第1階級,0
424,1984年,全国,（現物支出の教養娯楽）【円】,第1階級,296
425,1984年,全国,（現物支出のその他の消費支出）【円】,第1階級,465
426,1984年,全国,（現物支出の交際費（自家産物の贈与））【円】,第1階級,159
427,1984年,全国,〔持家の帰属家賃〕【円】,第1階級,"19,744"
428,1984年,全国,エンゲル係数（％）,第1階級,32.9
429,1984年,全国,貯蓄現在高（千円）,第1階級,"3,271"
430,1984年,全国,通貨性預貯金（千円）,第1階級,397
431,1984年,全国,定期性預貯金（千円）,第1階級,"1,787"
432,1984年,全国,生命保険（千円）,第1階級,644
433,1984年,全国,有価証券（千円）,第1階級,415
434,1984年,全国,負債現在高（千円）,第1階級,710
435,1984年,全国,うち住宅・土地のため（千円）,第1階級,460
436,1984年,全国,負債保有率（％）,第1階級,34.9
437,1984年,全国,うち住宅・土地のため（％）,第1階級,11.9
438,1984年,全国,集計世帯数,第2階級,"5,148"
439,1984年,全国,世帯数分布（抽出率調整）,第2階級,"81,591"
440,1984年,全国,（１万分比）,第2階級,"1,000"
441,1984年,全国,世帯人員（人）,第2階級,3.43
442,1984年,全国,有業人員（人）,第2階級,1.38
443,1984年,全国,世帯主の年齢（歳）【歳】,第2階級,44.7
444,1984年,全国,持家率（％）,第2階級,59.6
